"Antal nyfödda efter tilltalsnamn och år"

"tilltalsnamn","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Antonia",24,26,22,22,33,22,22,23,30,26,23,16,21,22,21,16,19
"Anya ",..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..
"Aprilia ",..,..,..,..,..,..,..,13,11,..,11,..,10,..,..,..,..
"Aria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Ariana ",..,..,..,..,..,..,..,..,..,..,..,..,14,..,14,18,14
"Ariel",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..
"Arina",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Arsam",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Arwen ",..,..,..,..,..,..,..,..,..,11,..,14,..,10,..,14,..
"Asia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..
"Asiya",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,..
"Asma ",..,..,..,..,..,..,..,..,..,..,..,..,..,12,..,13,17
"Asta",..,..,..,..,..,15,13,12,15,13,12,23,17,13,24,19,30
"Astrid",101,94,126,109,123,149,163,169,242,262,306,395,441,418,459,439,454
"Athena",..,..,..,..,..,..,..,..,..,10,..,10,..,..,10,10,12
"Aurora",10,..,..,18,17,16,25,24,27,25,26,28,35,29,47,46,58
"Ava",..,..,..,11,..,10,13,..,19,26,26,25,35,30,38,54,53
"Awa ",..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..
"Avin",..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..
"Aya",12,..,17,20,16,17,26,18,30,24,29,39,32,38,35,37,33
"Ayla",..,..,..,..,..,11,10,13,14,13,10,20,16,16,18,28,37
"Aylin",..,..,..,..,..,10,11,..,11,17,14,26,18,19,23,34,61
"Azra ",..,..,..,..,..,..,13,..,..,..,10,..,..,11,10,12,12
"Bea",..,..,13,..,..,13,..,16,10,15,10,14,..,..,..,..,..
"Beata",16,21,37,23,23,24,24,18,17,15,26,14,20,21,12,13,..
"Beatrice",81,84,64,52,61,48,33,36,39,37,48,37,33,35,25,36,26
"Belinda",..,12,18,12,..,15,14,14,..,..,..,..,..,..,..,..,..
"Bella",..,..,10,15,21,32,37,51,61,63,65,59,86,92,93,96,92
"Belle",..,..,..,..,..,..,..,..,..,..,..,11,14,18,15,30,53
"Benin ",..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..
"Berfin",..,12,12,10,..,..,..,..,..,..,12,..,..,..,..,..,..
"Betty",..,13,10,..,..,..,11,10,11,12,12,30,29,31,33,44,34
"Bianca",32,37,42,56,61,62,64,76,90,85,85,91,98,108,109,92,117
"Bibbi",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Billie",..,..,..,..,..,..,..,..,..,..,..,..,10,19,17,34,28
"Blanka",..,..,..,..,..,..,..,..,..,..,..,..,11,10,..,..,10
"Blenda",..,..,..,..,..,14,11,19,12,11,..,..,..,..,..,..,..
"Bodil",..,..,..,..,..,..,..,..,..,..,..,..,..,14,12,18,11
"Bonnie",..,..,..,..,..,..,..,..,..,..,..,28,32,49,53,54,47
"Britta",..,..,..,..,..,..,..,..,12,10,..,..,10,..,18,14,13
"Caisa",..,12,..,11,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cajsa",76,68,82,72,67,64,65,43,42,26,29,35,29,22,22,13,16
"Camilla",51,26,32,23,21,26,14,16,15,11,13,14,..,10,..,..,10
"Carla",..,..,..,..,..,..,13,12,24,15,13,17,16,17,20,21,25
"Carmen",..,..,..,..,10,..,..,10,..,11,..,..,13,10,..,..,12
"Carolina",103,96,69,63,52,54,36,34,40,23,27,21,24,14,14,10,13
"Caroline",240,187,132,122,109,75,63,43,36,41,27,20,30,15,17,12,13
"Carolin",13,14,10,..,..,10,..,..,..,..,..,..,..,..,..,..,..
"Casandra",10,..,..,..,..,15,..,..,..,..,..,..,..,..,..,..,..
"Cassandra",84,88,90,74,73,81,87,64,73,69,64,46,63,48,41,45,28
"Cataleya",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16
"Cecilia",150,147,128,125,107,86,88,58,79,66,60,55,48,45,44,48,45
"Celia",..,..,..,..,..,..,..,..,..,11,..,..,13,..,16,13,..
"Celina",27,26,28,24,26,34,20,21,21,22,20,16,18,25,31,36,34
"Celine",37,35,43,38,31,39,42,36,42,37,40,56,62,68,70,66,102
"Céline",16,17,..,..,..,..,11,..,..,..,..,..,11,..,21,28,41
"Chanel",..,..,..,..,..,..,..,12,12,13,..,..,19,21,23,22,21
"Chanelle",..,..,..,..,..,..,..,10,..,11,..,21,10,..,14,..,17
"Charlie",..,..,..,..,..,..,..,..,..,..,..,13,29,34,51,62,67
"Charlotta",20,16,14,12,10,..,..,..,..,..,..,..,..,..,..,..,..
"Charlotte",24,30,36,21,14,16,14,14,12,12,..,14,14,13,10,11,10
"Chelsea",..,..,..,..,..,..,..,..,..,..,..,13,..,..,16,11,18
"Chloe",..,..,..,..,..,..,..,..,..,..,16,10,16,24,21,13,23
"Chloé",..,..,..,..,..,..,..,..,..,..,..,13,19,13,26,33,22
"Christina",23,20,21,22,19,14,18,11,18,17,17,14,15,18,13,..,..
"Christine",20,19,14,..,12,..,..,..,..,..,..,..,..,..,..,..,..
"Cindy",10,..,..,..,..,11,..,..,..,12,12,13,16,13,11,12,10
"Clara",252,273,256,335,340,338,351,330,327,302,302,236,253,245,232,265,278
"Claudia",35,34,37,38,33,39,16,19,17,18,13,15,21,20,16,14,18
"Cleo",..,..,..,..,..,..,..,..,..,..,..,17,15,11,17,23,25
"Corinne",..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..
"Cornelia",190,232,213,188,198,197,181,280,262,214,225,234,191,195,180,220,210
"Dagny",..,..,..,..,..,..,..,..,..,..,..,..,..,..,18,18,13
"Dahlia",..,..,..,..,..,..,..,..,..,..,..,13,12,10,18,18,24
"Daisy",..,..,..,..,..,..,..,..,..,10,17,20,14,11,14,27,24
"Dalia",..,..,13,14,..,14,16,14,..,11,11,10,24,18,18,19,27
"Dana",..,..,..,..,11,..,12,..,..,14,12,11,12,11,11,..,11
"Dania",..,..,..,..,..,..,..,13,..,16,19,17,11,22,18,..,17
"Daniela",35,23,27,19,20,20,21,21,25,17,16,17,13,10,12,..,14
"Daniella",70,75,56,58,58,70,49,53,49,46,30,37,38,35,31,29,29
"Daria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,..,..
"Dea",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Deborah",10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Delina",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18
"Denice",11,..,14,13,..,..,..,12,..,..,..,..,..,..,..,..,..
"Denise",65,50,42,44,37,47,49,37,27,42,25,21,22,21,28,23,22
"Denize",..,10,..,..,12,..,13,10,..,..,..,..,..,..,..,..,..
"Desirée",18,13,..,14,..,14,15,11,..,11,..,12,..,..,..,11,10
"Destiny",..,..,..,..,..,..,..,..,..,..,..,..,14,..,11,..,..
"Diana",65,36,54,55,53,65,49,57,33,51,53,62,42,56,54,43,52
"Dilan",..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Dilara",..,..,..,..,12,12,10,10,15,11,..,..,12,..,..,..,..
"Dima",..,..,..,..,..,..,..,..,..,..,..,15,..,10,..,10,..
"Dina",11,10,..,11,10,22,28,25,24,21,24,12,24,11,16,11,14
"Disa",17,26,21,34,33,37,39,38,46,43,36,38,48,33,40,24,33
"Dixie",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Donia",..,..,..,..,..,10,..,..,..,..,..,..,..,..,..,..,..
"Donya",..,..,..,..,..,..,..,..,..,..,10,..,..,..,10,..,..
"Doris",..,..,..,..,..,..,..,13,19,25,38,56,52,78,60,69,91
"Ebba",578,605,684,635,661,706,780,773,705,757,624,655,660,683,653,663,603
"Eda",..,..,..,..,..,..,..,..,..,..,10,..,11,..,..,..,..
"Edda ",..,..,..,..,..,..,..,..,..,..,..,..,12,..,17,33,73
"Eden ",..,..,..,..,..,..,..,..,..,..,11,10,13,..,12,12,..
"Edessa ",..,..,..,..,..,..,..,..,..,..,..,..,..,10,10,..,..
"Edith",11,20,19,14,32,43,42,44,71,117,127,165,206,194,246,243,231
"Edit",..,11,..,13,18,16,21,37,35,35,40,46,42,54,36,34,46
"Eija",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12
"Eila",..,..,..,..,..,..,..,..,..,..,12,13,15,12,17,11,15
"Eira",15,..,15,13,10,15,28,14,21,22,51,47,44,53,58,54,59
"Ela ",..,..,..,..,..,..,..,..,..,11,22,13,14,18,16,10,22
"Eldana",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..
"Eleanor ",..,..,..,..,..,..,..,..,..,..,..,..,13,10,11,13,17
"Elena",..,..,..,..,..,13,11,21,18,19,18,22,28,25,30,34,33
"Eleonora",..,13,14,11,10,..,..,21,19,10,14,16,23,28,29,23,32
"Eleonor ",..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,..,..
"Eliana ",..,..,..,..,..,..,..,..,..,..,11,..,11,12,12,22,17
"Elice",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Elicia ",..,..,..,..,..,..,15,12,20,17,23,24,21,20,28,28,41
"Elif",..,16,..,..,..,..,..,..,..,23,12,17,..,13,15,32,36
"Elina",103,121,135,127,145,194,171,217,199,182,166,164,160,164,151,161,139
"Eline",..,..,..,..,..,..,..,..,..,..,..,..,..,12,..,15,..
"Elin",1037,1076,999,944,1044,1051,980,869,758,741,623,566,563,498,374,351,313
"Elinor",16,22,19,..,..,15,10,..,15,..,..,..,..,10,..,10,..
"Elisabeth",39,31,27,17,25,28,24,22,25,25,28,25,26,26,36,32,33
"Elisabet",..,11,..,..,..,..,10,..,..,..,..,..,..,..,..,..,..
"Elisa",15,14,14,17,24,20,26,31,35,34,32,35,43,43,60,50,73
"Elise",50,49,46,51,66,57,95,90,97,92,108,153,146,160,212,229,303
"Elisia ",..,..,..,..,..,..,..,..,..,..,10,10,11,14,19,17,20
"Elissa ",..,..,..,..,..,..,..,11,..,14,18,..,14,15,20,18,21
"Elizabeth",..,..,..,..,10,..,..,..,..,..,..,12,..,20,10,11,12
"Eliza",..,..,..,..,..,..,..,11,11,16,14,13,21,23,21,16,35
"Elize",..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,13,14
"Ella",198,195,267,353,572,687,776,801,759,845,773,796,720,693,664,688,552
"Elle",..,..,..,..,..,..,..,13,10,13,..,17,21,30,28,26,32
"Ellen",379,416,463,433,517,510,549,498,506,523,477,492,544,502,517,498,515
"Ellie",..,..,..,13,21,35,38,38,50,74,98,132,240,276,305,298,362
"Elli",..,..,..,..,..,..,..,..,14,18,18,18,27,26,32,35,42
"Ellinore",22,..,17,12,..,..,..,..,..,..,..,..,..,..,11,13,15
"Ellinor",144,142,135,103,108,92,65,65,84,56,64,66,71,72,61,74,80
"Elly",..,..,..,..,10,..,11,16,18,16,30,38,57,34,39,39,58
"Elma",20,20,25,35,38,38,40,51,60,64,68,66,83,76,57,61,57
"Elmedina",..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..
"Elna",..,..,..,12,12,19,29,11,19,35,29,28,25,38,34,31,32
"Elona",..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..
"Elsa",224,210,259,308,427,473,619,602,624,722,772,768,719,716,750,762,841
"Elsie ",..,..,..,..,..,..,..,..,..,11,..,18,32,35,56,62,81
"Elva ",..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..
"Elvina ",..,..,..,..,..,..,..,..,14,12,..,17,13,21,..,..,12
"Elvira",132,134,164,164,198,238,223,237,256,336,364,349,399,350,325,322,375
"Elwira",..,..,..,..,..,13,..,..,12,14,11,14,12,16,20,18,22
"Ema",..,..,..,..,..,..,..,..,..,..,..,10,10,..,10,..,..
"Embla",19,18,19,29,52,48,49,51,71,75,67,71,57,50,48,34,39
"Emelia",12,..,..,..,13,..,..,..,14,10,11,..,14,..,10,..,..
"Emelie",608,602,506,464,438,444,403,343,327,274,262,245,194,171,160,133,136
"Emeli",..,..,..,..,..,..,..,10,..,10,..,..,..,..,..,..,..
"Emely",..,10,..,..,13,..,..,..,..,..,..,..,..,..,..,..,..
"Emilia",307,611,601,563,629,626,565,553,630,580,520,542,517,499,471,478,419
"Emilie",24,22,17,17,21,24,17,17,19,18,19,14,..,15,14,..,12
"Emilija",..,..,..,..,..,..,..,..,..,..,..,11,..,10,..,..,14
"Emily",50,35,49,36,30,40,43,43,43,44,47,49,41,46,51,51,60
"Emina",14,16,18,14,17,13,19,18,14,29,30,16,15,20,15,19,13
"Emma",1467,1394,1186,1115,1220,1375,1260,1103,1014,831,818,787,712,635,619,559,448
"Emmelie",22,18,13,12,16,13,..,10,..,..,..,..,..,..,..,..,..
"Emmie",43,35,47,49,40,53,74,69,57,62,64,58,68,61,43,34,46
"Emmi",..,10,12,10,16,21,20,11,21,22,17,16,19,25,16,18,21
"Emmy",128,136,155,127,128,127,143,144,131,124,118,119,116,105,102,99,106
"Emy",13,11,..,..,..,15,12,11,17,..,..,..,..,..,11,10,..
"Engla",11,16,30,56,75,94,105,147,209,224,169,44,40,51,37,26,16
"Enja",..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,12
"Enna",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12
"Enya",..,..,..,13,16,21,21,25,28,42,43,63,84,62,50,62,78
"Erica",107,96,93,64,53,39,53,29,31,22,20,16,..,..,..,..,..
"Erika",127,116,96,70,69,55,47,45,29,25,31,31,21,20,10,24,13
"Erina ",..,..,..,..,..,..,..,..,..,..,..,..,11,10,12,..,..
"Erna",..,..,..,11,..,..,12,..,10,10,..,..,..,..,..,..,..
"Erza",..,..,..,..,..,..,..,..,..,19,..,..,..,..,..,..,..
"Esma ",..,..,..,..,..,..,..,..,..,..,18,11,..,12,12,16,12
"Esmeralda",15,..,15,11,14,19,20,10,22,38,30,36,28,36,31,34,26
"Esra",10,10,10,..,..,..,11,..,..,..,..,..,..,..,..,..,..
"Estelle",..,14,12,17,25,20,29,39,39,33,41,38,53,64,55,33,45
"Ester",25,31,36,47,63,98,101,142,152,193,198,241,236,223,249,258,241
"Esther",13,21,21,25,27,35,32,68,79,84,77,87,102,121,130,141,141
"Estrid ",..,..,..,..,..,..,10,..,..,12,15,17,18,18,28,32,38
"Ethel",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,..
"Eva",18,16,16,19,15,19,16,14,23,22,28,36,24,26,31,36,37
"Evangeline",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Evelina",310,315,269,204,251,220,225,211,210,174,192,176,191,151,117,110,106
"Eveline",11,10,18,..,..,..,..,..,10,..,..,..,..,..,11,11,..
"Evelin",..,10,..,..,..,10,10,..,..,..,12,..,12,..,11,16,..
"Evelyn",13,12,..,14,13,16,11,15,11,11,17,23,28,17,30,31,31
"Evin",..,..,..,..,..,..,..,..,..,10,..,..,11,..,11,10,13
"Evy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15
"Faiza",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Fannie",10,18,..,14,..,12,..,..,..,..,..,..,..,..,..,..,..
"Fanny",392,354,323,278,293,268,216,208,177,165,144,130,116,119,96,83,74
"Farah ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..
"Fatima",29,32,26,38,39,38,28,43,44,45,45,64,72,57,73,68,55
"Fatma",10,11,13,..,..,..,10,13,10,13,10,16,15,15,14,17,20
"Felicia",721,617,661,635,624,600,509,531,518,658,452,431,399,372,342,345,346
"Felizia",..,..,11,..,..,..,13,..,15,10,12,12,11,..,..,..,..
"Fia",14,11,..,11,14,21,..,..,13,12,..,..,10,..,..,..,..
"Fideli",..,..,..,..,17,..,..,..,..,..,..,..,..,..,..,..,..
"Filippa",246,289,307,292,373,376,424,526,448,427,339,305,252,259,215,196,171
"Fiona",..,..,..,..,..,10,12,21,14,14,21,13,16,17,19,27,27
"Flora",..,..,..,..,..,..,12,14,25,31,25,32,41,19,41,53,40
"Florence",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,14
"Franka ",..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,..
"Fredrica",10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Fredrika",30,40,29,22,26,24,19,17,22,17,12,12,17,10,19,14,11
"Freija ",..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,10,11
"Freja",51,37,49,51,55,89,118,128,254,297,306,271,332,447,418,464,453
"Freya ",..,..,..,..,..,..,..,..,13,19,32,28,39,34,63,61,66
"Freyja ",..,..,..,..,..,..,..,..,..,..,..,..,..,11,10,..,..
"Frida",609,494,476,389,455,459,423,406,320,293,219,199,163,146,128,101,113
"Gabriela ",..,..,..,..,..,..,..,13,10,12,..,20,10,16,12,..,12
"Gabriella",135,138,115,80,86,102,91,89,87,79,78,85,70,70,64,58,58
"Gabrielle",..,..,..,13,..,..,..,..,..,..,..,..,..,..,..,12,..
"Gerda ",..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..
"Gina",..,..,11,..,..,..,..,..,..,13,..,..,..,..,..,..,..
"Gloria",..,..,..,..,..,15,..,..,..,..,..,..,26,18,17,18,19
"Grace",..,..,..,..,..,..,..,..,11,12,10,11,..,12,15,18,10
"Greta",20,34,27,39,40,44,72,88,82,77,95,130,158,137,150,174,181
"Gry",..,11,12,..,..,16,21,15,17,20,29,31,30,39,55,42,40
"Hafsa ",..,..,..,..,..,..,..,..,..,..,..,..,11,..,20,12,17
"Hailey ",..,..,..,..,..,..,..,..,..,13,..,16,19,33,48,70,60
"Hailie ",..,..,..,..,..,..,..,..,..,..,..,..,..,12,..,..,14
"Haley ",..,..,..,..,..,..,..,..,..,11,..,..,18,14,20,14,20
"Halima",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,..
"Hana",..,11,..,..,10,..,13,17,13,..,25,27,21,22,26,20,20
"Hanan",..,11,..,11,..,..,..,..,..,..,..,..,16,11,..,11,11
"Hani",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..
"Hanin ",..,..,..,..,..,..,..,10,..,..,..,..,..,..,..,..,..
"Hannah",151,173,165,186,197,179,175,138,149,101,104,89,77,65,74,58,55
"Hanna",846,856,854,838,778,754,668,659,556,463,408,355,308,259,217,203,174
"Harriet ",..,..,..,..,..,..,..,..,10,..,14,10,21,23,39,35,24
"Havanna ",..,..,..,..,..,..,..,15,..,17,16,22,27,21,18,18,11
"Havin",..,..,..,..,..,..,..,21,..,11,..,..,..,..,..,12,..
"Haylie",..,..,..,..,..,..,..,..,..,..,..,..,..,13,17,16,24
"Hedda",50,38,62,73,115,106,87,127,93,106,135,130,150,136,133,159,139
"Hedvig",34,40,44,43,55,54,69,61,57,93,108,109,121,125,127,106,103
"Hedwig ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,..
"Heidi",..,..,..,16,15,14,10,12,13,14,18,14,21,25,18,28,21
"Helena",48,35,36,25,25,34,23,20,20,23,24,29,28,32,24,28,32
"Helen",14,11,15,10,10,12,10,..,..,..,..,..,..,11,..,11,10
"Helga ",..,..,..,..,..,..,..,..,..,..,..,11,..,..,10,..,14
"Helin",12,11,15,27,12,16,17,19,18,22,24,19,26,17,18,24,22
"Henny",..,..,11,..,..,..,..,..,..,..,13,11,13,..,15,13,15
"Henrietta",12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hiba",..,..,..,11,11,..,..,13,10,10,..,11,12,..,11,13,14
"Hilda",61,76,86,111,121,114,138,149,189,186,169,160,176,153,159,174,172
"Hilde ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,16
"Hillevi",14,11,..,..,14,..,17,11,18,24,22,17,29,30,27,32,34
"Hilma",18,24,54,44,59,52,67,80,89,95,83,100,114,126,111,146,154
"Hoda",..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hollie ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,12,23
"Holly ",..,..,..,..,..,..,..,..,12,15,27,32,33,51,40,57,64
"Huda ",..,..,..,..,..,..,..,..,..,..,..,..,..,15,10,..,12
"Hulda ",..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,11,..
"Ibtisam",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,13
"Ida",747,735,810,863,935,973,1012,904,849,763,639,574,575,457,452,367,321
